,데이터시간,시리얼 번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소(ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
0,2024-03-19 17:34,ICW0W2100481,27,10,928,923,21.7,35,64,82
1,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2,2024-03-19 17:34,ICW0W2100582,62,23,519,1126,22.2,26,70,74
3,2024-03-19 17:34,ICW0W2100579,23,9,0,302,27.5,17,60,86
4,2024-03-19 17:35,ICW0W2100562,46,24,594,913,24.7,21,61,73
5,2024-03-19 17:34,ICW0W2100560,31,11,573,6000,24.5,22,55,63
6,2024-03-19 17:34,ICW0W2100549,36,13,1670,281,19.5,37,69,79
7,2024-03-19 17:34,ICW0W2100509,46,17,80,5410,23.6,25,57,68
8,2024-03-19 17:34,ICW0W2100506,70,27,215,23,12.3,41,55,90
9,2024-03-19 16:07,ICW0W2100499,29,10,500,6000,23.2,30,78,66
10,2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
11,2024-03-19 17:34,ICW0W2100497,308,129,565,25,24.8,23,57,60
12,2024-03-19 17:37,ICW0W2100491,13,7,1039,60000,24.3,25,57,61
13,2024-03-19 17:34,ICW0W2100489,25,8,93,2,24.1,25,63,96
14,2024-03-19 17:34,ICW0W2100488,64,23,506,117,22.9,22,78,91
15,2024-03-19 17:34,ICW0W2100485,104,37,1320,1,23,34,74,75
16,2024-03-19 17:34,ICW0W2100479,43,15,585,94,24.4,26,61,90
17,2024-03-19 17:34,ICW0W2100467,32,12,,6000,22.9,24,80,59
18,2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
19,2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
20,2024-03-19 17:34,ICW0W2100462,32,12,33,1307,24,26,68,78
21,2024-03-19 17:34,ICW0W2100460,16,5,1460,0,21.7,33,61,82
22,2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
23,2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
24,2024-03-19 17:34,ICW0W2100455,35,13,1631,0,22.6,33,75,78
25,2024-03-19 17:34,ICW0W2001000,35,22,23,112,17.5,29,51,92
26,2024-03-19 17:34,ICW0W2000996,35,33,673,139,22.6,28,60,90
27,2024-03-19 17:31,ICW0W2000991,50,32,406,29,17.1,33,71,89
28,2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
29,2024-03-19 17:34,ICW0W2000987,19,12,1033,291,23.7,29,62,88
30,2024-03-19 17:34,ICW0W2000983,13,9,177,4334,14.5,36,62,70
31,2024-03-19 17:34,ICW0W2000978,44,28,437,117,16.7,30,44,89
32,2024-03-19 17:34,ICW0W2000977,36,22,751,6000,20.9,31,55,63
33,2024-03-19 17:34,ICW0W2000974,5,4,962,424,19,34,54,89
34,2024-03-19 17:34,ICW0W2000973,24,15,391,56,20.7,28,56,96
35,2024-03-19 17:34,ICW0W2000972,74,49,463,21,22.6,23,48,85
36,2024-03-19 17:34,ICW0W2000968,43,27,448,118,24.9,20,63,89
37,2024-03-19 17:34,ICW0W2000964,60,39,446,67,16.2,30,53,85
38,2024-03-19 17:34,ICW0W2000956,49,28,763,1541,18.7,36,51,76
39,2024-03-19 17:34,ICW0W2000955,42,27,730,109,17.2,34,71,88
40,2024-03-19 17:34,ICW0W2000951,52,15,429,617,23.6,30,62,84
41,2024-03-19 17:34,ICW0W2000944,297,208,1333,145,23.4,34,72,50
42,2024-03-19 17:34,ICW0W2000933,56,18,391,26,22,27,49,94
43,2024-03-19 17:34,ICW0W2000926,10,3,2,1459,27.9,25,52,74
44,2024-03-19 17:34,ICW0W2000924,39,12,461,9,19.8,30,66,95
45,2024-03-19 17:34,ICW0W2000922,45,15,507,44,22.6,28,61,94
46,2024-03-19 17:34,V01T1623130,23,11,618,163,19.5,28,46,94
47,2024-03-19 17:34,V01T1623129,34,16,796,215,25.7,23,37,87
48,2024-03-19 17:34,V01T1623123,52,23,557,265,23.4,21,33,89
49,2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
50,2024-03-19 17:33,V01T1623118,1,1,465,263,23.9,25,34,97
51,2024-03-19 17:33,V01T1623117,48,21,1310,646,24.1,29,46,73
52,2024-03-19 17:34,V01T1623116,40,18,750,157,22.1,28,31,91
53,2024-03-19 17:34,V01T1623113,61,26,443,126,29.9,14,33,81
54,2024-03-19 17:34,V01T1623112,60,25,597,196,25.9,22,52,86
55,2024-03-19 17:34,V01T1623109,67,28,2362,135,11.5,42,44,69
56,2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
57,2024-03-19 17:34,V01T1623105,70,29,597,233,22,23,31,88
58,2024-03-19 17:34,V01T1623102,16,8,1531,459,28,23,40,71
59,2024-03-19 17:34,V01T1623100,58,25,368,142,21.9,27,30,92
60,2024-03-19 17:34,ICW0W2000512,57,22,526,272,22.8,28,62,89
61,2024-03-19 17:34,ICW0W2000507,9,5,1686,1468,25,30,65,67
62,2024-03-19 17:34,ICW0W2000505,27,10,650,253,25.6,26,68,89
63,2024-03-19 17:34,ICW0W2000503,35,12,1007,430,24.1,33,72,83
64,2024-03-19 17:34,ICW0W2000501,27,10,821,166,22.8,30,76,93
65,2024-03-19 17:34,ICW0W2000500,27,15,2500,392,24.8,27,59,70
66,2024-03-19 17:29,ICW0W2000459,44,15,680,120,21.3,30,62,92
67,2024-03-19 17:34,ICW0W2000455,33,12,177,48,19.5,41,65,100
68,2024-03-19 17:34,ICW0W2000447,18,6,818,419,19.6,36,66,93
69,2024-03-19 17:34,ICW0W2000398,47,16,441,45,25.4,24,60,91
70,2024-03-19 17:34,ICW0W2000388,72,23,804,158,18.2,34,58,89
71,2024-03-19 17:34,ICW0W2000382,14,5,500,21,22.3,29,64,98
72,2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
73,2024-03-19 17:34,ICW0W2000380,71,24,740,66,19.2,35,53,94
74,2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
75,2024-03-19 16:40,ICW0W2000287,20,6,1139,138,25.9,28,55,85
76,2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
77,2024-03-19 17:34,ICW0W2000275,70,23,453,2,17.1,33,50,90
78,2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
79,2024-03-19 17:34,ICW0W2000262,55,18,521,27,18.2,32,51,93
80,2024-03-19 17:34,ICW0W2000248,33,10,2482,777,22.9,29,64,71
81,2024-03-19 17:33,ICW0W2100481,25,10,928,977,21.7,35,58,81
82,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
83,2024-03-19 17:33,ICW0W2100582,61,23,522,1220,22.2,26,69,74
84,2024-03-19 17:33,ICW0W2100579,21,8,0,288,27.5,17,67,86
85,2024-03-19 17:34,ICW0W2100562,46,24,594,907,24.7,20,61,74
86,2024-03-19 17:33,ICW0W2100560,30,11,573,6000,24.5,22,57,63
,2024-03-20 09:58,ICW0W2100488,37,14,361,35,19.4,15,73,92
,2024-03-20 09:58,ICW0W2100506,0,0,93,5,10.9,27,58,92
,2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
,2024-03-20 09:58,ICW0W2100582,28,10,610,208,23.2,19,67,90
,2024-03-20 09:58,ICW0W2100579,19,7,0,162,25.3,13,59,92
,2024-03-20 09:59,ICW0W2100562,27,15,613,319,21.7,16,85,88
,2024-03-20 09:58,ICW0W2100560,14,5,959,6000,23.9,22,56,66
,2024-03-20 09:58,ICW0W2100549,29,12,337,4,10.5,27,64,87
,2024-03-20 09:58,ICW0W2100509,26,9,127,6000,21.7,22,83,68
,2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
,2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
,2024-03-20 09:58,ICW0W2100497,207,86,901,24,21.8,21,77,66
,2024-03-20 10:01,ICW0W2100491,24,13,1219,60000,24.0,23,70,60
,2024-03-20 09:58,ICW0W2100485,39,15,1240,0,23.5,31,81,85
,2024-03-20 09:58,ICW0W2100481,17,7,894,6000,20.7,29,68,66
,2024-03-20 09:59,ICW0W2100479,27,10,1137,91,24.8,23,81,84
,2024-03-20 09:58,ICW0W2100489,14,5,80,5,22.1,23,81,100
,2024-03-20 09:58,ICW0W2100467,14,5,,6000,22.2,24,74,62
,2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
,2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
,2024-03-20 09:58,ICW0W2100462,31,11,376,114,22.5,28,63,95
,2024-03-20 09:58,ICW0W2100460,51,18,562,0,18.1,32,77,93
,2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
,2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
,2024-03-20 09:58,ICW0W2100455,216,64,1989,0,25.5,33,61,54
,2024-03-20 09:58,ICW0W2000512,29,11,493,108,31.1,17,67,82
,2024-03-20 09:58,ICW0W2001000,25,16,55,31,17.0,27,55,95
,2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
,2024-03-20 09:58,ICW0W2000951,45,12,350,14,19.7,24,60,96
,2024-03-20 09:58,ICW0W2000956,29,18,767,353,21.3,32,51,89
,2024-03-20 09:58,ICW0W2000996,25,24,647,179,20.3,26,58,92
,2024-03-20 09:58,ICW0W2000991,16,11,648,5242,18.0,25,74,68
,2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21.0,34,63,71
,2024-03-20 09:58,ICW0W2000983,29,19,210,4,10.4,26,68,86
,2024-03-20 09:58,ICW0W2000955,32,21,570,74,14.6,23,70,86
,2024-03-20 09:58,ICW0W2000987,25,15,769,224,21.8,26,60,91
,2024-03-20 09:58,ICW0W2000978,31,20,448,49,20.1,22,52,94
,2024-03-20 09:58,ICW0W2000922,23,7,680,31,21.3,24,74,96
,2024-03-20 09:58,ICW0W2000926,10,3,145,81,27.4,21,57,93
,2024-03-20 09:58,ICW0W2000977,32,22,545,41,19.2,25,60,93
,2024-03-20 09:58,ICW0W2000933,30,9,628,86,22.7,21,65,95
,2024-03-13 08:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
,2024-03-20 09:58,ICW0W2000973,19,12,586,28,16.7,26,64,93
,2024-03-20 09:58,ICW0W2000972,57,40,808,159,21.3,20,71,85
,2024-03-20 09:58,ICW0W2000968,11,8,701,1016,26.5,19,64,72
,2024-03-20 09:58,ICW0W2000944,19,13,548,51,16.8,27,81,93
,2024-03-20 09:58,ICW0W2000964,28,18,713,71,15.7,22,69,86
,2024-03-20 09:58,ICW0W2000924,89,31,757,30,20.5,26,80,86
,2024-03-20 09:58,ICW0W2000505,10,4,412,109,25.2,19,55,92
,2024-03-20 09:47,V01T1623100,34,16,329,126,21.3,18,30,91
,2024-03-20 09:58,V01T1623130,1,1,389,125,16.1,23,30,96
,2024-03-20 09:58,V01T1623129,8,4,594,165,23.3,21,41,96
,2024-03-20 09:58,V01T1623123,35,16,592,125,20.7,19,38,90
,2024-03-13 15:23,V01T1623121,55,24,426,132,18.0,22,43,92
,2024-03-20 09:57,V01T1623118,1,1,437,126,19.8,25,46,99
,2024-03-20 09:57,V01T1623117,11,5,437,163,22.4,16,30,94
,2024-03-20 09:58,V01T1623116,38,17,379,163,17.5,28,35,90
,2024-03-20 09:58,V01T1623113,31,14,429,129,26.2,9,30,88
,2024-03-20 09:58,V01T1623112,9,4,358,126,23.0,23,34,98
,2024-03-20 09:40,V01T1623109,51,22,2362,128,11.0,34,41,64
,2024-03-14 08:08,V01T1623108,39,18,623,125,20.3,26,33,92
,2024-03-20 09:58,V01T1623105,25,12,411,125,18.4,19,30,92
,2024-03-20 09:58,V01T1623102,6,3,653,138,26.4,14,43,91
,2024-03-20 09:58,ICW0W2000503,24,8,391,340,15.0,30,52,86
,2024-03-20 09:58,ICW0W2000455,18,7,144,45,20.0,30,61,99
,2024-03-20 09:58,ICW0W2000447,11,4,291,119,20.0,24,51,98
,2024-03-20 09:58,ICW0W2000459,18,7,643,16,22.2,23,61,97
,2024-03-20 09:58,ICW0W2000507,11,6,613,38,21.3,24,61,97
,2024-03-20 09:58,ICW0W2000501,16,6,443,50,22.4,24,72,98
,2024-03-20 09:58,ICW0W2000500,14,8,2500,344,26.5,19,61,69
,2024-03-20 09:58,ICW0W2000380,28,10,269,0,14.7,26,54,91
,2024-03-20 09:58,ICW0W2000275,23,8,455,50,15.2,32,50,90
,2024-03-20 09:58,ICW0W2000388,37,14,494,4,11.6,28,59,85
,2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26.0,15,53,72
,2024-03-20 09:58,ICW0W2000382,7,2,500,15,24.3,23,64,96
,2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
,2024-03-20 09:58,ICW0W2000287,14,5,528,35,23.1,21,56,98
,2024-03-20 09:58,ICW0W2000398,25,9,457,13,23.0,19,63,94
,2024-03-20 09:58,ICW0W2000974,18,12,1524,896,17.9,35,79,72
,2024-03-20 09:58,ICW0W2000248,14,4,1697,61,24.5,21,66,77
,2024-03-20 09:58,ICW0W2000262,33,11,440,17,16.2,28,64,93
,2024-03-20 09:57,ICW0W2100488,38,14,358,33,19.3,15,73,92
,2024-03-20 09:57,ICW0W2100506,0,0,96,5,10.9,27,58,92
,2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
,2024-03-20 09:57,ICW0W2100582,27,10,603,181,23.2,20,66,94
,2024-03-20 09:57,ICW0W2100579,19,7,0,126,25.2,13,58,93
,2024-03-20 09:58,ICW0W2100562,26,15,615,333,21.7,16,85,88
